DENS,GR,SP,DEEP_RES,CAL,Lithology
2.5552,159.1349,82.5,1950.0,8.8111,Granitiod
2.033,152.923,-3.054,4.121,10.213,Granitiod
2.536,148.397,3.369,2.099,14.79,Granitiod
2.264,154.847,-2.059,1.265,12.494,Granitiod
3.917,72.086,3.696,5.645,10.2,Granitiod
2.378,105.6,-0.642,2.457,8.2,Granitiod
2.5693,285.33,55.3125,262.2278,8.8714,Granitiod
2.0753,61.3377,51.25,29.6368,3.4305,Basin Fill
2.428,244.049,2.513,3.12,9.9,Granitiod
2.527,102.202,2.979,4.239,10.1,Granitiod
2.709,58.8564,-65.5469,10.4048,9.0282,Granitiod
2.105,135.425,3.297,1.439,13.762,Basin Fill
2.5832,129.3902,41.0938,1606.3955,8.9317,Granitiod
2.5905,180.769,78.125,906.6696,8.6904,Granitiod
2.5766,221.5328,115.5469,422.3064,8.618,Granitiod
2.622,136.677,4.652,5.066,12.928,Granitiod
2.6992,64.6226,39.1406,106.993,9.2936,Granitiod
2.388,156.0713,-12.9688,10.5235,9.9692,Granitiod
2.5075,122.9653,36.875,703.9803,9.559,Granitiod
2.3882,165.2334,-15.0,10.7228,10.5242,Granitiod
,74.402,-1.563,0.477,14.016,Basin Fill
2.782,87.799,3.085,7.938,10.9,Granitiod
3.684,155.068,4.907,11.323,9.8,Granitiod
2.48,171.277,-1.208,3.061,11.532,Granitiod
2.441,170.436,0.296,2.741,11.45,Granitiod
2.5992,210.0248,71.4063,1251.9109,8.8111,Granitiod
2.565,106.986,-0.963,5.466,10.5,Granitiod
2.5396,159.9345,76.1719,853.5392,8.8835,Granitiod
2.1434,81.8028,52.5,220.4013,3.4305,Basin Fill
2.2864,81.2035,58.125,34.7564,3.4305,Basin Fill
2.5998,175.69,5.0,862.2167,8.9317,Granitiod
2.3318,36.5344,70.625,121.8949,3.4788,Basin Fill
2.217,109.239,2.176,0.696,14.344,Granitiod
2.5747,239.4299,115.625,967.9689,8.5457,Granitiod
2.6034,579.3475,148.0469,1890.424,8.8352,Granitiod
,97.603,-1.551,0.376,13.888,Basin Fill
2.204,85.9696,49.5313,139.7616,3.4305,Basin Fill
3.63,161.799,-0.293,29.782,9.4,Granitiod
2.223,85.7416,56.1806,49.5109,3.3823,Granitiod
2.343,156.57,-1.214,4.939,11.159,Granitiod
2.4653,156.277,42.6563,441.5552,9.366,Granitiod
2.136,128.005,2.861,0.756,14.367,Granitiod
2.425,121.643,-1.157,0.77,13.044,Basin Fill
2.5254,241.087,103.125,895.0471,8.7387,Granitiod
3.0931,102.9532,42.4219,7.5152,3.2375,Granitiod
3.7921,97.102,44.5833,3.055,8.8473,Granitiod
2.403,193.547,-5.588,2.158,10.854,Granitiod
2.5726,188.052,111.3393,1899.3445,8.7628,Granitiod
2.3579,34.9932,60.0,133.1832,3.4788,Basin Fill
2.4182,154.2161,-15.2344,12.6007,10.8137,Granitiod
2.6146,91.7072,49.375,7.0147,3.334,Granitiod
2.677,173.138,2.837,2.138,13.061,Granitiod
2.3765,41.9004,76.875,114.9856,3.4547,Basin Fill
2.4,84.461,-0.789,0.652,13.542,Basin Fill
2.4393,163.2645,-15.0,12.0417,10.4759,Granitiod
3.257,107.338,5.615,3.54,11.2,Granitiod
2.458,135.819,-1.925,7.063,11.912,Granitiod
2.233,137.924,3.262,7.404,13.734,Granitiod
2.5372,136.8709,108.125,325.529,8.8352,Granitiod
2.567,180.465,2.086,2.409,13.181,Granitiod
2.9202,62.1389,-75.9375,300.8794,9.0765,Granitiod
2.38,99.775,-3.155,5.117,10.6,Granitiod
2.7919,79.5216,-71.7969,81.5664,9.3419,Granitiod
2.5671,161.5592,54.7656,569.9592,8.7387,Granitiod
3.656,146.274,-2.193,56.858,9.4,Granitiod
2.597,187.568,3.69,3.713,13.207,Granitiod
2.8442,64.8509,-76.1719,73.9113,9.4867,Granitiod
2.463,143.085,1.684,2.325,12.223,Granitiod
2.489,84.0291,41.875,11.7411,3.3581,Granitiod
,190.73,-0.032,1.73,10.549,Granitiod
2.5696,302.9715,53.0469,1907.5098,8.9558,Granitiod
3.689,161.644,-2.317,58.21,9.5,Granitiod
2.5522,243.6558,108.125,193.8072,8.618,Granitiod
2.6192,138.4375,73.9063,1508.3152,8.8111,Granitiod
2.067,210.064,2.941,2.818,11.2,Granitiod
2.474,113.823,2.633,2.939,10.0,Granitiod
3.722,185.308,5.401,28.323,10.9,Granitiod
2.462,166.689,-2.432,1.44,11.04,Granitiod
1.762,64.839,1.742,2.555,11.3,Granitiod
2.2956,151.5623,-26.5625,8.3047,10.6931,Granitiod
2.193,154.088,-2.385,4.034,10.74,Granitiod
2.758,73.396,3.298,6.077,9.6,Granitiod
2.4794,178.3922,-21.0938,13.9992,10.4759,Granitiod
,88.043,-1.711,0.369,14.311,Basin Fill
2.452,205.883,1.446,1.95,12.869,Granitiod
3.723,161.675,0.134,37.718,10.2,Granitiod
2.3605,154.5874,-21.875,12.4715,10.5724,Granitiod
2.362,73.744,-0.945,0.813,14.267,Basin Fill
2.5394,191.2478,120.2344,186.747,8.9076,Granitiod
2.208,142.699,-2.198,5.318,10.507,Granitiod
2.1729,82.8012,55.7813,126.7286,3.4185,Basin Fill
,88.161,-0.85,0.432,14.213,Basin Fill
2.555,120.469,2.46,2.611,10.5,Granitiod
2.004,132.623,-3.557,2.5,10.082,Granitiod
2.134,170.4,-0.611,2.57,10.767,Granitiod
2.1671,71.3563,55.0781,55.4614,3.3823,Granitiod
2.3483,36.0205,57.7344,44.5167,3.4305,Basin Fill
2.599,220.4755,9.1406,712.9435,9.6556,Granitiod
2.6176,146.9731,56.875,1316.6169,8.6904,Granitiod
,90.07,-1.288,0.369,14.279,Basin Fill
2.336,146.388,-1.937,1.113,12.175,Granitiod
2.6144,210.4861,98.6719,1005.7803,8.8352,Granitiod
2.6041,167.2107,150.625,528.5886,8.8352,Granitiod
,106.309,5.401,0.917,14.91,Granitiod
2.121,143.901,2.754,0.836,14.393,Granitiod
2.142,113.207,1.579,0.702,14.318,Granitiod
,106.865,2.283,0.584,14.265,Granitiod
2.661,266.447,2.53,1.812,12.529,Granitiod
2.478,202.66,1.089,1.746,12.569,Granitiod
2.5715,222.56,123.125,1485.7999,9.1971,Granitiod
3.835,149.657,-0.16,40.417,11.0,Granitiod
3.443,174.865,4.815,4.336,11.3,Granitiod
2.6148,154.1951,154.1406,363.062,8.9076,Granitiod
2.2876,21.8634,62.5,94.5505,3.4547,Basin Fill
,182.009,1.845,1.683,11.203,Granitiod
2.139,98.265,2.553,0.85,14.201,Granitiod
3.726,166.32,0.203,22.92,9.6,Granitiod
2.256,195.707,-0.917,2.218,11.319,Granitiod
2.5634,117.333,137.2656,256.3516,8.7628,Granitiod
2.5597,340.2787,53.9844,1197.7776,8.8835,Granitiod
2.598,184.9641,156.4286,591.0301,8.8835,Granitiod
2.647,130.836,1.872,3.713,13.313,Granitiod
2.102,126.326,4.545,1.164,15.029,Granitiod
2.3974,156.6996,-25.3125,9.9304,10.0416,Granitiod
3.571,123.695,5.809,16.303,10.0,Granitiod
2.08,127.601,0.053,3.057,10.865,Granitiod
2.6035,181.855,69.375,689.728,8.7869,Granitiod
2.103,121.705,0.891,2.57,12.6,Granitiod
2.5382,119.6572,133.8281,1188.8304,8.8111,Granitiod
2.283,151.248,0.053,2.366,13.434,Granitiod
2.4005,171.3143,-50.0,15.0365,10.2588,Granitiod
2.5837,213.3994,110.8594,367.6343,8.7387,Granitiod
2.072,141.972,4.621,2.042,14.91,Granitiod
2.556,166.586,2.157,5.016,10.1,Granitiod
2.295,100.868,2.053,0.735,14.344,Granitiod
2.452,147.774,1.968,3.24,10.5,Granitiod
2.4084,163.4078,-46.4844,11.8494,10.7413,Granitiod
2.399,251.86,3.667,1.493,13.415,Granitiod
2.5502,253.9313,45.0,678.0934,8.9679,Granitiod
2.6211,157.2467,163.3594,231.4984,9.1609,Granitiod
3.817,184.691,5.401,11.834,11.0,Granitiod
2.578,135.132,3.476,6.047,12.811,Granitiod
2.6353,165.7264,145.2344,217.5844,8.7869,Granitiod
2.524,177.426,3.529,1.578,14.173,Granitiod
2.4451,149.2229,-63.125,12.8095,9.7279,Granitiod
2.6073,187.3896,156.25,1120.5817,8.8352,Granitiod
2.5977,168.0654,39.375,176.0815,9.1609,Granitiod
2.3815,72.0413,53.125,7.0706,3.3702,Granitiod
3.566,76.54,4.255,8.198,11.0,Granitiod
,118.924,5.401,1.35,14.963,Granitiod
2.2497,74.9809,51.25,7.962,3.3823,Granitiod
2.1971,91.7353,48.125,99.8361,3.4064,Basin Fill
2.619,185.638,3.342,2.432,13.697,Granitiod
2.77,73.067,3.644,5.267,10.9,Granitiod
2.454,212.066,4.084,1.535,13.779,Granitiod
2.46,87.263,-0.294,0.605,13.543,Basin Fill
2.21,111.922,5.722,1.301,14.896,Granitiod
2.1413,82.8871,54.5313,41.8093,3.4547,Basin Fill
2.19,104.027,-3.28,1.916,10.6,Granitiod
2.568,188.981,2.701,1.535,14.154,Granitiod
3.761,177.549,4.468,18.023,9.8,Granitiod
2.1437,87.2261,54.7656,46.9802,3.4064,Granitiod
2.607,209.6302,107.8125,634.6837,8.6904,Granitiod
,86.136,-2.567,0.376,14.057,Basin Fill
2.4815,178.0499,-17.9688,13.8889,9.8003,Granitiod
2.1023,65.7905,55.1563,160.1782,3.4064,Basin Fill
2.348,155.438,-1.123,1.465,12.844,Granitiod
