ID,Wob,Hookload,TempOut,TempIn,PumpPres,SurfTorq,Rpm,FlowIn
1,0,31.54,94.48,91.18,456.09,8.97,61.75,1102.46
2,0,35.81,90.78,93.16,385.18,8.82,0,1068.02
3,0,37.56,92.42,93.35,341.34,8.82,45.18,986.74
4,0,32.15,88.68,93.08,426.74,8.7,120.36,1081.7
5,0,41.99,97.15,95.94,374.89,8.63,93.6,990.12
6,0,57.24,91.47,96.25,432.46,8.06,0,1052.61
7,0,57.92,90.97,96.17,438.56,8.06,0,1058.1
8,0,56.17,90.05,96.06,437.41,8.06,0,1055.05
9,0,55.71,97.41,96.02,444.66,8.13,0,1064.81
10,0,57.16,98.18,96.17,441.61,8.13,0,1054.65
11,0,55.33,98.18,96.63,440.08,7.94,0,1052.41
12,0,57.24,98.56,96.7,436.27,7.98,0,1047.12
13,0,53.2,98.9,97.09,442.37,7.98,0,1045.69
14,0,55.18,100.58,98.46,424.83,8.89,0,1020.85
15,0,61.81,100.77,98.53,423.31,8.93,0,1022.47
16,3.64,76.76,102.26,100.14,454.57,11.26,0,1039.55
17,4.25,76.15,102.18,100.29,450.38,11.26,0,1041.18
18,37.35,43.05,101.57,100.75,461.81,11.41,0,1050.12
19,17.6,62.8,101.61,100.82,456.86,11.41,0,1045.45
20,6.69,73.71,101.76,100.82,457.24,11.45,0,1044.23
21,23.39,57.01,102.37,100.82,453.04,11.68,0,1046.67
22,13.02,67.38,104.35,104.18,445.04,14.39,0,1010.67
23,9.9,70.5,106.03,104.6,446.94,15.15,0,1020.41
24,10.33,50.07,103.97,104.52,466.39,6.84,97.19,1045.59
25,26.77,58.23,101.72,104.33,220.48,4.7,70.26,739.1
26,2.75,79.81,105.15,105.47,367.64,4.7,52,908.94
27,2.44,56.96,109.19,108.29,396.24,4.59,77.96,893.46
28,2.4,57,109.35,108.33,397,4.59,65.21,894.48
29,10.78,48.62,111.9,110.54,414.16,4.82,85.89,887.28
30,14.61,44.79,111.21,110.58,406.15,4.78,76.74,851.91
31,11.88,47.52,111.63,110.62,405.01,4.74,84,852.52
32,8.54,50.86,112.21,111.15,399.67,4.82,92.54,845.75
33,9.55,49.85,112.36,111.15,400.05,4.89,89.01,845.95
34,6.59,53.18,110.57,108.41,432.08,4.55,78.27,865.8
35,8.39,51.38,110.68,108.33,431.69,4.59,87.85,868.87
36,1.19,59.11,108.97,107.88,485.45,76.64,97.52,883.43
37,5.01,55.29,108.16,107.99,483.54,78.7,84.98,881.58
38,8.57,51.73,107.59,108.41,475.16,77.22,86.96,864.16
39,10.36,50.24,108.01,109.29,487.36,79.12,69.27,868.29
40,9.88,50.72,109.12,109.82,498.03,76.61,76.34,875.88
41,8.56,52.04,109.5,110.43,504.89,75.16,80.37,880.8
42,4.08,57.22,111.25,111.27,560.56,70.31,81.1,924.8
43,6.23,55.07,111.21,111.31,560.56,70.16,78.42,927.25
44,7.63,53.67,111.18,111.31,559.41,76.87,72.59,884.25
45,5.88,55.42,111.14,111.57,557.13,75.5,79.58,842.48
46,11.16,50.14,110.53,112.11,499.18,97.99,82.23,889.96
47,8.39,52.91,110.49,112.03,502.23,105.89,97.27,850.02
48,16.22,45.08,113.04,112.49,514.04,133.41,75.25,886.31
49,5.27,54.23,114.11,113.17,521.67,63.53,89.65,890.79
50,10.71,48.79,114.42,113.1,529.29,86.82,78.36,905.93
51,13.07,46.43,114.68,113.06,534.25,84.8,77.47,909.41
52,12.09,47.41,114.95,112.95,533.49,83.16,83.7,813.16
53,4.98,54.52,113.73,112.91,535.01,112.06,71.92,897.73
54,8.33,49.97,113.81,113.02,514.04,136.12,70.55,889.58
55,6.46,51.84,113.54,113.37,516.71,145.54,80.19,903.04
56,7.28,51.02,114.46,113.78,513.28,145.15,85.13,896.07
57,9.67,50.63,115.26,114.05,490.03,139.44,80.28,859.51
58,4.96,55.34,115.29,114.09,499.56,144.28,82.32,864.86
59,7.77,52.53,116.7,115,522.43,73.36,77.75,865.35
60,9.09,51.21,116.48,115,519,80.07,73.45,889.28
61,4.22,56.08,116.97,115.23,548.74,68.37,98.92,894.29
