ID,GR,DEEP_RES,DENS,SP
1,40.2736,111.8657,2.3856,77.1875
2,40.3304,79.8859,2.3177,76.9531
3,30.9118,85.3207,2.2729,71.25
4,28.8849,47.5501,2.2859,63.125
5,25.0032,25.9892,2.4956,63.75
6,33.3947,194.3557,2.374,63.75
7,30.5975,152.5172,2.3938,62.6563
8,28.514,81.2237,2.3271,61.875
9,23.4335,44.3631,2.3781,61.0938
10,38.6468,36.2409,2.4248,61.0156
11,42.6712,148.2199,2.372,60
12,45.097,98.9877,2.4048,60.625
13,34.9932,133.1832,2.3579,60
14,34.0227,104.7118,2.3535,59.9219
15,34.4506,104.5031,2.3495,59.375
16,23.6332,108.5287,2.3339,63.8281
17,25.0318,114.6176,2.3108,63.5938
18,30.1979,109.6818,2.3132,60.625
19,30.8829,22.2665,2.3251,59.2188
20,35.4212,56.2485,2.312,54.9219
21,36.6483,41.9893,2.3252,46.4844
22,44.5264,150.7489,2.3832,59.4531
23,56.3999,145.6426,2.0564,75.625
24,72.1265,108.6412,2.1061,75
25,92.021,95.7563,2.1422,76.25
26,86.7406,40.2113,2.1251,52.5781
27,47.9513,28.5529,2.1589,61.0156
28,40.4734,31.378,2.1136,60.6944
29,91.2217,53.2165,2.2045,68.8542
30,36.2776,60.5954,2.1251,66.9444
31,81.5744,54.6102,2.1357,66.5625
32,77.493,40.3635,2.1906,61.5625
33,82.0308,75.9967,2.1646,49.8611
34,105.4076,122.8642,2.3286,52.6563
35,76.0944,211.5275,2.295,53.3594
36,81.5176,148.5397,2.1425,64.375
37,85.4561,107.9008,2.1694,66.1719
38,100.3836,86.8865,2.2145,66.5278
39,84.4571,123.962,2.2239,65.1563
40,84.2288,77.6946,2.2932,46.1806
41,81.5172,34.3404,2.2765,46.4063
42,82.2879,80.3522,2.1811,48.75
43,78.1205,80.0201,2.1877,49.375
44,79.6335,52.189,2.2037,49.7917
45,86.6262,100.9846,2.2681,49.6094
46,81.8603,44.8673,2.2005,50.3125
47,79.0338,60.4831,2.1574,49.7917
48,92.3347,116.6161,2.2241,61.25
49,84.3712,131.383,2.1985,56.9531
50,71.3275,172.293,2.1381,61.0938
51,75.5518,103.6902,2.1336,60.1389
52,80.0047,87.071,2.1625,62.0313
53,74.7811,92.0233,2.174,59.5313
54,79.2056,113.0604,2.1236,54.375
55,79.6903,101.2174,2.1861,57.5781
56,90.4795,71.1679,2.1882,56.25
57,81.4884,60.6236,2.2057,55.625
58,76.0087,94.703,2.1495,61.875
59,84.3426,71.9395,2.1915,57.5
60,82.2027,61.8584,2.2156,56.7188
61,103.0671,192.3568,2.1869,54.1406
62,74.4099,59.7815,2.1748,53.4375
63,87.7965,144.2632,2.1555,55
64,85.1131,49.0169,2.1674,54.6094
65,89.3376,74.3442,2.255,54.375
66,92.2211,73.5967,2.2133,53.125
67,99.5276,104.4332,2.1765,52.1094
68,69.7007,396.1819,2.1871,53.125
69,74.2678,173.2548,2.1673,51.5625
70,77.6642,52.7123,2.1654,50.8594
71,89.8232,206.6065,2.1829,50.625
72,101.8107,66.6879,2.2714,51.5625
73,101.4117,145.9288,2.17,56.875
74,85.8844,120.5259,2.2066,56.875
75,79.833,46.1399,2.1101,55.625
76,89.0525,62.6245,2.1734,54.6094
77,90.3652,104.4049,2.1701,54.4531
78,80.6328,92.4366,2.1816,55.625
79,86.7975,74.345,2.1498,56.0156
80,83.9718,81.7431,2.1578,56.25
81,87.2256,72.6642,2.1295,56.0156
82,80.6327,41.3827,2.1681,56.25
83,67.8738,16.3773,2.3285,51.5972
84,91.5069,116.9201,2.2909,51.7969
85,77.3499,66.5535,2.2644,51.875
86,85.6558,35.404,2.2169,51.25
87,101.3828,54.748,2.2337,51.25
88,68.3594,41.2914,2.2404,56.25
89,86.6831,80.8975,2.2363,56.25
90,90.6794,54.8619,2.2294,56.25
91,96.9594,39.2524,2.2969,54.375
92,100.3837,23.3112,2.2571,53.75
93,87.1117,11.806,2.251,49.6094
94,87.9396,12.3377,2.2845,50
95,91.5352,11.9024,2.2729,50.3906
96,87.5682,11.8718,2.3053,50
