ID,Rop,Wob,Hookload,TempOut,TempIn,PumpPres,SurfTorq,Rpm,FlowIn
1,56.8,0,31.77,93.49,90.87,463.72,8.93,151.09,1109.58
2,61.14,0,31.01,93.52,90.83,459.53,8.93,151.09,1108.36
3,18.58,0,31.01,94.25,90.91,454.57,9.01,61.54,1102.87
4,38.29,0,31.16,94.44,91.14,451.14,8.97,60.23,1101.04
5,413.16,0,30.24,94.52,91.18,452.28,8.97,61.99,1101.85
6,450.72,0.76,29.33,94.52,91.21,454.19,8.97,62.07,1102.06
7,600.96,0,31.01,94.52,91.21,452.66,9.01,61.95,1102.26
8,399.5,0,30.93,94.55,91.25,448.85,8.97,61.42,1099.21
9,563.4,0,30.78,94.55,91.29,452.66,9.01,59.57,1102.87
10,638.52,0,31.08,94.55,91.29,452.28,9.01,59.33,1103.48
11,743.69,0,31.46,94.55,91.29,448.47,8.97,58.67,1100.43
12,348.28,2.13,27.96,94.55,91.37,452.28,8.97,56.05,1103.28
13,100,0,40.61,90.89,93.24,19.94,8.74,0,0
14,147.35,0,37.95,90.89,93.27,139.28,8.74,0,469.14
15,54.86,0,37.56,90.78,93.16,383.66,8.82,53.92,1068.03
16,106.42,0,36.12,90.67,93.16,384.8,8.78,0,1065.78
17,147.35,0,36.19,86.81,93.04,386.33,8.82,61.38,1062.73
18,492.98,0,36.8,86.93,93.08,384.8,8.82,61.42,1066.8
19,694.86,0,36.27,86.89,93.04,387.47,8.82,69.53,1067.21
20,611.7,0,36.95,86.62,93.08,387.09,8.82,75.19,1063.95
21,833.83,0,35.43,86.47,93.08,384.42,8.82,82.32,1066.39
22,766.22,0,35.89,86.4,93.08,384.04,8.82,85.11,1064.77
23,694.86,0,35.51,86.24,93.08,389.76,8.78,88.43,1067.21
24,515.1,0,31.92,85.94,93.08,388.23,8.82,82.28,1067.61
25,368.77,2.82,27.27,85.86,93.08,386.33,8.82,97.45,1066.39
26,247.9,0,34.36,85.25,93.08,387.47,8.82,99.25,1069.44
27,492.97,0,33.22,84.91,93.08,385.56,8.82,92.49,1069.65
28,348.28,0.61,29.48,84.76,93.12,390.9,8.82,89.82,1073.92
29,294.7,0,33.14,84.41,93.08,387.47,8.82,83.27,1073.92
30,450.72,0,34.36,84.22,93.12,390.14,8.82,83.1,1074.73
31,619.74,0,34.82,84.07,93.12,384.8,8.82,79.54,1072.9
32,25.75,0,38.4,91.89,93.31,356.97,8.78,34.03,1013.96
33,187.8,0,36.73,92.88,93.39,304.74,8.82,122,932.62
34,371.84,0,35.28,92.99,93.35,299.78,8.78,132.42,927.32
35,200.32,0,37.26,92.95,93.39,297.88,8.82,106.34,924.67
36,127.71,0,37.41,93.18,93.58,296.35,8.93,47.27,924.88
37,197.19,0,38.56,93.11,93.62,298.64,8.93,46.17,918.17
38,147.35,0,31.46,92.99,93.62,321.13,8.97,33.17,977.91
39,212.84,0,34.44,93.14,93.65,321.89,8.97,58.92,977.28
40,676.09,0,38.17,89.25,93.16,419.49,8.67,116.76,1068.07
41,751.2,0,38.4,89.41,93.16,422.16,8.63,121.59,1069.08
42,137.72,0,36.8,89.71,93.16,420.26,8.63,127.66,1072.54
43,348.28,0,34.67,89.79,93.16,423.31,8.67,124.26,1071.32
44,492.98,0,30.55,89.83,93.2,426.74,8.67,122.66,1076.2
45,450.71,0,37.11,89.9,93.16,423.31,8.67,124.22,1073.36
46,563.39,0,36.95,89.98,93.16,423.31,8.67,129.09,1073.16
47,676.08,0,32.76,90.05,93.16,426.74,8.67,129.71,1079.86
48,721.15,0,36.27,90.02,93.16,426.36,8.67,125.57,1078.64
49,676.08,0,40.77,90.02,93.16,426.74,8.67,122.21,1079.46
50,833.85,0,42.29,90.05,93.16,426.36,8.67,124.63,1083.73
51,513.32,0,38.86,90.28,93.16,430.55,8.67,130.69,1084.95
52,713.64,0,37.41,90.28,93.12,427.5,8.67,129.83,1085.36
53,619.74,0,39.32,90.09,93.12,430.93,8.7,124.75,1086.98
54,478.89,0,41.38,89.94,93.12,429.03,8.67,120.49,1087.19
55,732.42,0,40.92,89.75,93.12,429.41,8.67,116.88,1086.99
56,507.06,0,38.78,89.45,93.12,433.98,8.67,110.61,1088.82
57,713.64,0,37.64,89.25,93.12,428.26,8.7,110.28,1087.59
58,515.11,0,42.6,88.99,93.12,430.17,8.7,117.49,1087.6
59,788.75,0,40.92,88.84,93.12,431.69,8.67,117.95,1087.19
60,547.3,0,41.76,88.72,93.12,426.74,8.7,111.02,1086.17
61,901.44,0,38.1,88.68,93.12,426.36,8.7,120.49,1084.95
62,375.6,0,31.24,88.68,93.08,427.88,8.7,121.59,1085.36
63,187.8,0,47.93,89.29,94.87,385.94,8.51,116.59,1007.82
64,360.58,0,48.77,89.41,94.87,381.37,8.51,122.95,1005.99
65,191.56,0,49.84,89.71,94.87,383.66,8.55,107.08,1005.79
66,119.95,0,47.4,90.05,94.84,380.23,8.51,94.33,1003.55
67,97.85,0,41.07,91.43,94.84,382.89,8.55,69,1001.11
68,82.63,0,45.49,92.19,94.87,375.65,8.55,101.06,995.21
69,124.33,0,48.7,92.23,94.87,379.46,8.59,108.03,996.43
70,103.29,0,49.15,93.11,94.91,376.79,8.63,124.95,995.01
71,138.68,0,47.1,94.55,94.95,376.79,8.59,128.73,993.99
72,80.83,0,45.72,95.89,95.03,375.65,8.59,126.02,992.77
73,61.97,0,47.4,96.96,95.14,376.79,8.63,110.61,993.18
74,119.72,0,43.28,97.15,95.18,378.32,8.63,116.59,995.62
75,109.37,0,44.2,97.18,95.22,379.08,8.63,123.81,993.99
76,106.59,0,44.96,97.11,95.26,376.03,8.63,113.19,992.16
77,63.26,0,48.01,97.15,95.33,376.03,8.67,116.18,992.97
78,116.31,0,47.1,97.15,95.41,374.51,8.7,108.76,991.14
79,185.92,0,46.71,97.11,95.41,373.36,8.7,109.91,990.53
80,84.51,0,48.32,97.03,95.45,372.6,8.7,113.56,987.49
81,133.55,0,48.7,97.03,95.52,376.03,8.74,116.96,988.1
82,150.24,0,48.54,97.03,95.52,376.03,8.74,113.93,987.49
83,112.68,0,48.7,96.96,95.56,373.36,8.78,113.89,987.28
84,112.68,0,47.48,97.03,95.6,376.03,8.78,100.73,989.31
85,97.45,0,45.95,97.26,95.67,372.98,8.78,85.6,990.53
86,132.8,0,47.93,97.34,95.71,371.46,8.82,89.7,988.7
87,133.54,0,48.62,97.41,95.71,374.51,8.82,108.15,989.72
88,143.02,0,48.54,97.3,95.75,377.18,8.82,81.91,990.33
89,153.25,0,48.01,97.3,95.79,371.08,8.78,87.65,987.07
90,212.1,0,47.32,97.26,95.79,370.69,8.78,82.73,986.87
91,80.13,0,41.53,97.11,95.87,374.13,8.78,117.7,988.29
92,68.41,0,48.47,97.07,95.87,374.51,8.74,113.72,987.48
93,185.92,0,46.56,97.11,95.87,372.6,8.7,101.75,987.68
94,66.4,0,48.77,97.11,95.94,374.51,8.67,154.14,987.68
95,87.07,0,49.31,97.34,95.98,376.41,8.63,47.23,991.13
96,91.21,0,49.46,97.45,96.06,375.27,8.63,98.23,993.17
97,240.39,0,50.22,97.45,96.06,375.27,8.67,83.22,993.58
98,95.34,0,49.69,97.41,96.09,371.46,8.67,87.37,988.29
99,450.72,0,37.11,91.62,96.48,394.33,8.25,0,1018.42
100,611.7,0,33.68,91.62,96.44,393.57,8.21,0,1018.83
101,619.74,0,44.5,91.66,96.44,392.43,8.25,15.22,1017.81
102,676.08,0,58.69,88.91,96.63,422.93,8.09,0,1031.26
103,507.06,0,56.7,88.91,96.63,424.07,8.09,17.51,1035.33
104,383.1,0,54.49,88.87,96.63,423.69,8.09,16.74,1034.11
105,360.58,0,56.4,88.87,96.63,427.88,8.06,52.93,1036.35
106,79.81,0,57.54,88.95,96.48,435.51,8.06,0,1052
107,212.1,0,59.14,89.33,96.44,433.98,8.06,49.9,1055.86
108,179.26,0,56.93,90.59,96.36,437.79,8.06,68.88,1054.64
109,195.71,0,58,91.62,96.32,438.94,8.06,6.49,1052.61
110,240.38,0,58.23,91.35,96.21,436.65,8.09,0,1053.02
111,154.94,0,57.85,90.59,96.13,439.32,8.06,0,1056.27
112,200.32,0,56.47,90.28,96.09,438.94,8.09,0,1057.9
113,182.44,0,56.17,89.9,96.06,441.23,8.09,0,1056.07
114,127.22,0,57.31,89.56,96.02,438.94,8.06,0,1053.22
115,139.72,0,57.47,89.22,95.98,440.46,8.09,0,1055.86
116,133.54,0,57.77,89.52,95.94,447.71,8.13,0,1063.18
117,232.4,0,48.77,89.86,95.98,449.61,8.13,0,1067.05
118,123.58,0,53.65,94.02,96.02,447.33,8.13,0,1067.86
119,166.56,0,48.7,95.39,96.02,447.71,8.13,0,1066.64
120,112.68,0,53.73,97.45,96.09,442.75,8.13,0,1056.48
121,100.82,0,56.78,98.33,96.13,443.89,8.13,0,1058.92
122,212.84,0,52.36,98.18,96.21,436.27,8.17,0,1052
123,120.19,0,53.81,98.4,96.29,440.84,8.17,0,1052.61
124,98.94,0,54.72,98.14,96.29,436.65,8.17,0,1048.55
125,177.07,0,55.56,98.18,96.36,435.89,8.13,0,1053.02
126,300.49,0,55.94,98.21,96.36,438.56,8.13,0,1050.99
127,265.6,0,56.32,98.14,96.4,437.03,8.17,0,1051.6
128,225.36,0,56.86,98.14,96.4,435.51,8.13,0,1051.39
129,90.69,0,55.94,98.06,96.48,433.6,8.06,0,1049.16
130,262.92,0,57.01,98.14,96.48,440.46,8.06,0,1053.83
131,309.87,0,56.09,98.1,96.51,436.27,8.02,0,1050.78
132,180.29,0,56.7,97.99,96.51,439.32,7.98,0,1054.04
133,109.27,0,56.09,97.91,96.63,438.94,7.98,0,1048.95
134,206.59,0,56.47,98.29,96.63,438.18,7.98,0,1050.99
135,106.42,0,56.25,98.4,96.7,438.56,7.98,0,1050.78
136,360.58,0,57.92,98.67,96.74,439.32,7.98,0,1050.17
137,97.86,0,48.39,98.56,96.82,440.46,7.98,0,1048.54
138,95.35,0,43.28,98.56,96.86,441.23,7.98,0,1047.53
139,200.32,0,48.77,98.4,96.93,440.08,7.98,0,1044.68
140,109.32,0,48.7,98.79,96.97,441.61,7.94,0,1047.93
141,83.86,0,53.88,98.75,97.05,438.18,7.98,0,1045.09
142,218.74,0,51.14,98.75,97.05,441.61,7.94,0,1047.73
143,148.74,0,54.8,98.9,97.09,443.13,7.98,0,1048.13
144,148.74,0,50.37,98.82,97.12,441.61,8.02,0,1046.1
145,94.89,0,52.59,99.05,97.12,437.79,7.98,0,1042.65
146,177.08,0,50.91,99.09,97.16,436.27,8.02,0,1043.46
147,161.67,0,43.21,99.01,97.16,437.41,8.02,0,1040.2
148,521.14,0,68.83,98.82,98.53,438.56,9.58,0,1036.92
149,428.18,0,69.28,98.86,98.57,437.41,9.58,0,1036.92
150,475.77,0,70.43,98.86,98.61,439.32,9.62,0,1034.68
151,277.37,0,67,98.9,98.73,439.7,9.58,0,1034.89
152,67,0,68.45,99.09,99.07,434.74,9.62,0,1035.09
153,70.16,0,49.08,99.09,99.3,443.89,9.62,0,1042.4
154,86.86,0,46.26,99.32,99.45,440.84,9.62,0,1043.62
155,256.67,0,51.75,99.36,99.45,446.18,9.62,0,1044.84
156,303.37,0,63.03,98.86,99.53,441.99,9.62,0,1046.06
157,379.02,0,46.79,98.98,99.53,446.94,9.62,0,1046.46
158,247.9,0,62.8,99.62,99.56,443.89,9.62,0,1048.29
159,131.85,0,61.13,100.65,99.56,449.23,9.66,0,1050.33
160,163.9,0,59.37,100.65,99.6,444.66,9.62,0,1049.51
161,59.76,0,56.02,100.69,99.64,446.18,9.7,0,1044.43
162,148.75,0,51.06,100.77,99.64,441.99,9.7,0,1044.23
163,120.46,0,55.48,100.96,99.64,443.51,9.73,0,1044.03
164,87.65,0,61.96,102.18,99.87,435.51,9.85,0,1036.9
165,137.73,0,67.45,102.1,99.94,439.7,9.85,0,1040.56
166,151.69,0,43.82,102.14,100.02,440.08,9.85,0,1036.5
167,74.42,0,65.01,101.95,100.1,434.36,9.89,0,1031.42
168,133.55,0,66.46,102.03,100.14,433.98,9.89,0,1031.01
169,159.64,0,67,102.1,100.14,436.27,9.92,0,1034.47
170,253.53,0,68.52,102.1,100.1,435.13,9.92,0,1025.93
171,239.46,0,72.56,102.18,99.98,430.55,9.92,0,1023.08
172,124.35,0,67.68,102.22,100.25,427.12,10,0,1021.45
173,166.58,0,65.85,102.26,100.25,427.12,10,0,1017.38
174,58.22,6.08,74.32,102.33,100.06,452.66,11.22,0,1037.12
175,112.68,7.3,73.1,101.99,100.4,451.9,11.3,0,1042.4
176,312.05,8.6,71.8,101.95,100.48,454.19,11.34,0,1041.59
177,116.21,32.39,48.01,101.76,100.59,455.33,11.34,0,1042.4
178,144.23,9.13,71.27,101.72,100.67,456.09,11.37,0,1045.04
179,200.33,8.98,71.42,101.65,100.67,454.95,11.41,0,1043.42
180,260.58,12.56,67.84,101.65,100.67,454.57,11.41,0,1044.43
181,81.95,15,65.4,101.57,100.82,460.67,11.45,0,1049.11
182,139.87,27.28,53.12,101.57,100.82,457.24,11.41,0,1048.9
183,143.77,31.63,48.77,101.68,100.82,459.53,11.41,0,1047.28
