ID,GR,DEEP_RES,DENS,SP
1,35.3354,83.4256,2.3691,77.5781
2,36.8197,82.2389,2.3666,77.5
3,44.3262,98.7457,2.3661,77.1094
4,41.5861,114.6172,2.3667,77.1875
5,36.9341,107.8062,2.346,77.4219
6,37.2765,105.5819,2.309,77.1875
7,31.6536,93.3087,2.3056,76.7188
8,27.4862,81.4914,2.3238,77.0313
9,34.622,122.728,2.3154,77.5
10,35.878,168.0558,2.3378,77.5781
11,29.3701,165.8264,2.3369,77.5781
12,32.4812,125.7331,2.3542,77.2656
13,34.2507,116.7097,2.317,76.9531
14,33.566,96.7937,2.3275,76.5625
15,39.8455,58.6883,2.3392,76.4844
16,39.1888,85.7148,2.3226,77.5
17,45.7819,66.747,2.3397,78.4028
18,54.887,68.3335,2.358,79.1071
19,48.1512,89.4626,2.3615,78.9844
20,42.6996,154.4506,2.3831,78.6719
21,48.7221,279.3747,2.3744,77.9688
22,42.0715,266.8156,2.36,77.1094
23,42.0429,202.1211,2.3218,75.9375
24,38.1613,166.6939,2.2894,75.2344
25,32.738,42.1985,2.3648,71.6406
26,28.8562,26.2598,2.3872,69.2969
27,27.886,39.8823,2.3506,67.5
28,32.0246,44.8685,2.285,68.4375
29,34.2796,66.1863,2.3023,70
30,32.2528,113.4152,2.3009,70.5469
31,36.5344,121.8949,2.3318,70.625
32,28.9137,89.7786,2.3109,70.625
33,35.935,108.9441,2.311,72.1094
34,37.7331,166.3029,2.3427,72.7344
35,38.1039,175.0956,2.3485,72.9688
36,32.4241,103.9729,2.351,72.9688
37,30.4263,69.7042,2.3413,73.0469
38,33.5375,76.2662,2.3191,72.1094
39,31.6821,84.9332,2.3141,71.875
40,28.9991,134.5857,2.3167,72.0139
41,28.5994,135.4071,2.3125,71.875
42,24.7176,88.2869,2.308,71.5625
43,30.9401,66.9561,2.3348,71.875
44,29.0278,60.0543,2.3279,71.875
45,26.8297,95.7816,2.3038,71.5625
46,31.7962,175.6154,2.28,71.4063
47,30.8258,93.7709,2.3022,71.0938
48,28.3712,61.9413,2.3357,71.3393
49,31.7963,42.009,2.3505,70.4861
50,29.0563,43.975,2.3602,70
51,29.7413,55.6377,2.3422,68.75
52,30.3691,57.8485,2.3179,68.0469
53,32.9665,56.6525,2.3268,67.5781
54,32.31,58.0179,2.2992,66.875
55,28.9134,49.6727,2.3182,65.2344
56,34.0224,42.3566,2.3427,64.6875
57,33.8797,70.0946,2.3451,64.1406
58,38.3041,53.9993,2.3554,63.9844
59,34.4508,37.0594,2.3445,62.8125
60,34.3365,26.0812,2.4224,62.5
61,28.4569,43.6305,2.3587,61.875
62,22.0347,137.8274,2.2835,64.2188
63,24.0043,133.6178,2.2667,63.75
64,24.4896,81.1635,2.3032,63.75
65,26.1162,57.5935,2.2948,63.75
66,28.2855,59.4393,2.3319,63.4375
67,31.5109,75.896,2.3581,63.75
68,33.7373,96.1788,2.3253,63.125
69,32.9094,106.291,2.3195,62.8125
70,30.5117,102.3089,2.3356,62.1875
71,30.2836,97.4028,2.3604,62.4219
72,28.8564,93.1027,2.3588,62.8906
73,28.685,83.4947,2.3575,63.75
74,33.5087,77.3185,2.3378,63.75
75,30.1408,77.3314,2.3274,63.4375
76,31.5963,88.2537,2.348,63.125
77,29.0277,125.9519,2.3655,62.1094
78,26.5443,138.9484,2.35,61.875
79,27.2865,84.4389,2.3426,61.875
80,26.6872,51.5247,2.3248,61.25
81,29.9123,40.4476,2.307,60.4688
82,42.2142,39.4209,2.2874,60.1563
83,80.9465,55.5227,2.3413,59.375
84,46.0102,98.5649,2.3438,59.375
85,33.3661,133.3045,2.3253,59.375
86,31.7106,94.6473,2.3243,58.75
87,28.4853,68.3749,2.2879,59.2188
88,31.996,64.68,2.2731,60.3125
89,26.1735,69.5303,2.3009,61.25
90,32.0246,59.986,2.305,61.875
91,34.7648,50.4791,2.328,61.6406
92,32.3101,79.2327,2.3429,61.25
93,30.8543,62.9679,2.346,61.875
94,30.8544,42.6949,2.3791,62.4219
95,23.0051,36.248,2.4593,63.75
96,26.3446,50.7649,2.3893,63.4375
97,26.6872,74.2239,2.3985,64.0625
98,27.3152,134.6893,2.4245,65.2679
99,24.4608,212.6611,2.3929,65
100,27.9431,229.9669,2.4136,64.375
101,28.4855,328.8613,2.3915,63.75
102,28.628,305.0578,2.3618,63.75
103,30.3688,156.0771,2.3809,64.0625
104,36.4486,90.9708,2.3858,63.9063
105,34.6793,72.622,2.3601,63.8281
106,35.1642,81.3364,2.3415,62.8906
107,33.4518,111.722,2.3276,63.125
108,36.5629,147.5724,2.3214,62.9688
109,36.0205,165.3144,2.3475,63.125
110,25.1744,218.9881,2.3723,63.75
111,35.3354,102.3655,2.3775,61.9531
112,36.5058,89.2439,2.3455,62.1094
113,25.831,63.7613,2.3423,61.875
114,31.6822,72.8878,2.3721,61.7188
115,31.996,100.1903,2.4205,61.25
116,30.5119,132.6265,2.4218,61.25
117,26.145,124.2304,2.4077,61.6406
118,23.0622,89.9655,2.392,61.4063
119,23.6619,49.9317,2.3798,61.0938
120,24.2326,42.6834,2.3985,61.0938
121,31.9678,37.8359,2.4396,61.25
122,37.4763,72.8818,2.4017,60.625
123,33.5661,70.7724,2.3941,60.1563
124,35.4213,43.613,2.4589,60
125,25.4598,33.6859,2.5176,59.2969
126,30.0266,57.1064,2.4649,59.375
127,36.4202,90.4418,2.42,59.375
128,39.6453,146.0936,2.3858,59.7321
129,37.5046,183.5701,2.3626,61.0938
130,38.5607,117.3584,2.3466,61.7188
131,38.9889,73.3691,2.3475,62.1528
132,35.4498,67.331,2.3432,61.25
133,38.5893,88.5272,2.3492,60
134,44.6119,203.4215,2.3777,60.3906
135,45.2967,142.9024,2.3651,60.625
136,40.8156,86.6578,2.4156,60.625
137,42.1,82.0476,2.4096,60.625
138,41.1866,76.0037,2.4022,60.8594
139,36.2204,92.6019,2.4118,60.9375
140,37.1337,141.4308,2.3994,60.625
141,35.2213,219.2215,2.3648,60.625
142,33.4231,209.8548,2.3604,59.9107
143,34.2794,84.3271,2.3355,60
