DiscYear,FieldGOR,OrigOil,OrigGas ,OrigBOE,CumProdOil,CumProdGas,CumProdBOE,RemOil,RemGas,RemBOE,WaterDepthCat,Field    name
1989,1332,1741.9,2320,2154.7,1426.6,1828,1751.9,315.3,492,402.8,DEEP,MC807
1971,4086,469.3,1917.2,810.3,459.2,1896.5,796.6,10.1,20.7,13.7,SHALLOW,EI330
1949,1653,596.7,988.5,772.5,592,975.5,765.5,4.7,13,7,SHALLOW,WD030
1956,4359,402.7,1744.5,713.1,380.8,1656.1,675.5,21.9,88.4,37.6,SHALLOW,GI043
1958,79938,46.2,3692.3,703.2,45.5,3647.1,694.5,0.7,45.2,8.7,SHALLOW,TS000
1949,1052,548.6,577.5,651.5,545.5,575.1,647.9,3.1,2.4,3.6,SHALLOW,BM002
2002,670,555.6,372.5,621.8,379,248.2,423.1,176.6,124.3,198.7,DEEP,GC640
1956,65255,47.9,3126.5,604.2,47.9,3126.5,604.2,0,0,0,SHALLOW,VR014
1998,816,502.9,410.4,575.9,360.2,239.7,402.8,142.7,170.7,173.1,ULTRA-DEEP,GC743
1956,5658,276.5,1564.2,554.8,272.7,1558.9,550.1,3.8,5.3,4.7,SHALLOW,MP041
1987,3508,305.9,1072.9,496.8,277.4,973.3,450.6,28.5,99.6,46.2,DEEP,GB426
1948,79958,32.6,2606.9,496.5,32.2,2603.9,495.6,0.4,3,0.9,SHALLOW,VR039
2002,394,458,180.3,490.1,311,123.1,332.9,147,57.2,157.2,DEEP,GC654
1960,6151,232.3,1432.7,487.2,227,1400.8,476.3,5.3,31.9,10.9,SHALLOW,SS208
1964,17021,105.2,1746.9,416.1,95.1,1550.7,371.1,10.1,196.2,45,SHALLOW,EI238
1962,2466,283.5,703.8,408.7,278.5,691.2,401.4,5,12.6,7.3,SHALLOW,WD073
2000,981,344.2,337.7,404.3,270.4,264.2,317.4,73.8,73.5,86.9,ULTRA-DEEP,MC776
1998,426,366.5,156,394.2,209.5,61.8,220.5,157,94.2,173.7,DEEP,GC826
1999,718,345.6,248.1,389.7,174.8,129,197.7,170.8,119.1,192,ULTRA-DEEP,MC778
1948,1298,310.5,402.7,382.1,307.7,397.1,378.3,2.8,5.6,3.8,SHALLOW,GI016
1967,1931,276.4,533.6,371.3,272.7,529.6,366.9,3.7,4,4.4,SHALLOW,SP061
1969,4417,198.4,876.2,354.3,196.9,874.5,352.5,1.5,1.7,1.8,SHALLOW,SP089
